statnm,linenm,minutes,lng,lat,within30,within60
국제업무지구,인천1호선,0.0,126.63051457440402,37.39965882841697,1,1
센트럴파크,인천1호선,2.0,126.63492862366024,37.39288573070748,1,1
송도달빛축제공원,인천1호선,2.0,126.62498214121375,37.408596296988,1,1
인천대입구,인천1호선,3.5,126.63962826411178,37.386058208882694,1,1
지식정보단지,인천1호선,5.0,126.64588755160727,37.3773986286264,1,1
테크노파크,인천1호선,7.5,126.65636551193265,37.38239183572303,1,1
캠퍼스타운,인천1호선,9.0,126.66206973618004,37.38833525507561,1,1
동막,인천1호선,11.5,126.67345641013986,37.397903163655364,1,1
동춘,인천1호선,13.5,126.68094727926608,37.40462766193392,1,1
원인재,인천1호선,15.5,126.68800068052849,37.41245135486674,1,1
신연수,인천1호선,17.0,126.69402896090298,37.41794013196051,1,1
선학,인천1호선,19.0,126.69895528999022,37.4267530600135,1,1
문학경기장,인천1호선,20.5,126.69847453781992,37.434759728460506,1,1
인천터미널,인천1호선,22.0,126.69971616471226,37.44190752398227,1,1
연수,수인선,23.5,126.6789623618131,37.41784553580041,1,1
남동인더스파크,수인선,23.5,126.69529188478269,37.4077458307954,1,1
예술회관,인천1호선,23.5,126.70083286265724,37.44836006223112,1,1
호구포,수인선,25.5,126.70867412094057,37.401648378662465,1,1
인천시청,인천1호선,25.5,126.70224317163908,37.457548722665294,1,1
송도,수인선,27.0,126.65478796186453,37.42980924402058,1,1
인천논현,수인선,27.5,126.72252081134845,37.40066783164519,1,1
간석오거리,인천1호선,28.5,126.70792072130922,37.467085419817316,1,1
인하대,수인선,29.5,126.64980694680905,37.44830713131039,1,1
소래포구,수인선,29.5,126.7335331014852,37.400984406873945,1,1
부평삼거리,인천1호선,30.5,126.71032284945542,37.477740942504646,0,1
월곶,수인선,31.5,126.74278454368384,37.39173962241573,0,1
숭의,수인선,32.0,126.63831480610203,37.4608161096153,0,1
석바위시장,인천2호선,32.2,126.69229588881241,37.45767327417982,0,1
석천사거리,인천2호선,32.5,126.71051013524622,37.456792161429625,0,1
동수,인천1호선,32.5,126.71805638940498,37.48522482649379,0,1
달월,수인선,34.0,126.74546415664179,37.37996977595952,0,1
시민공원,인천2호선,34.0,126.68135256454076,37.45837139895639,0,1
모래내시장,인천2호선,34.1,126.71948159160158,37.45587247535443,0,1
신포,수인선,34.5,126.6246332893909,37.46841703400752,0,1
부평,인천1호선,34.5,126.72346336795734,37.49026798553393,0,1
만수,인천2호선,35.9,126.73177667950613,37.45497708565143,0,1
부평시장,인천1호선,36.0,126.72229174839819,37.49856707228955,0,1
주안,인천2호선,36.1,126.67904146198127,37.46520810885331,0,1
오이도,수인선,36.5,126.73873910263131,37.36253426650221,0,1
인천,수인선,37.0,126.61739620871003,37.476473822211084,0,1
주안국가산단,인천2호선,37.9,126.68134286624142,37.474120642777365,0,1
부평구청,인천1호선,38.0,126.72059366122198,37.5083918997868,0,1
정왕,수인선,38.5,126.74316535963786,37.351538459807195,0,1
남동구청,인천2호선,38.5,126.7366371412752,37.448175839541726,0,1
갈산,인천1호선,40.0,126.7214954402828,37.51653681232342,0,1
가재울,인천2호선,40.2,126.6838654444094,37.48408136361174,0,1
인천대공원,인천2호선,41.0,126.75287710059443,37.4484723842065,0,1
신길온천,수인선,41.5,126.76686074735534,37.33753993989089,0,1
작전,인천1호선,42.0,126.72253518521073,37.53022733160036,0,1
도화,서울1호선,42.6,126.66814079949802,37.46616043462845,0,1
간석,서울1호선,42.6,126.69356900354457,37.464716323179005,0,1
인천가좌,인천2호선,42.7,126.67522599094904,37.48982331843308,0,1
부개,서울1호선,42.8,126.74062233824068,37.488559510224306,0,1
백운,서울1호선,42.8,126.70692552464301,37.48299691688588,0,1
경인교대입구,인천1호선,43.5,126.72266074678517,37.53771565166249,0,1
운연,인천2호선,43.6,126.75963114762519,37.4396414864273,0,1
안산,수인선,44.5,126.78871588132898,37.32671081318423,0,1
제물포,서울1호선,44.6,126.65699535452084,37.46681041751595,0,1
서부여성회관,인천2호선,44.7,126.67586440678384,37.5003237331973,0,1
송내,서울1호선,44.8,126.75311484445696,37.4877227038449,0,1
굴포천,서울7호선,44.8,126.73134986134868,37.50701940610915,0,1
동암,서울1호선,45.1,126.70284451295541,37.47056680373955,0,1
계산,인천1호선,45.5,126.72760395386638,37.543286863154215,0,1
산곡,서울7호선,45.7,126.70353819286909,37.50860477209053,0,1
동인천,서울1호선,46.2,126.63256802696127,37.47548971928754,0,1
석남,인천2호선,46.4,126.6762999181793,37.50742228629505,0,1
삼산체육관,서울7호선,46.5,126.74145722772775,37.50650008965022,0,1
도원,서울1호선,46.6,126.64267713207076,37.468515478288595,0,1
중동,서울1호선,46.8,126.76453769855881,37.4867224831341,0,1
초지,수인선,47.5,126.80596965155503,37.320402791526625,0,1
임학,인천1호선,47.5,126.73856864996466,37.544852534749346,0,1
가정중앙시장,인천2호선,48.2,126.67681920637938,37.517585257499476,0,1
상동(지하),서울7호선,48.3,126.75316485649894,37.5058188076642,0,1
부천,서울1호선,49.3,126.78267629629937,37.48400472407767,0,1
고잔,수인선,49.5,126.82313802359579,37.316601588372215,0,1
박촌,인천1호선,49.5,126.7451060004568,37.55406809324822,0,1
부천시청,서울7호선,50.0,126.76405955738444,37.5046277377068,0,1
가정,인천2호선,50.4,126.67539548546307,37.52509508945347,0,1
소사,서울1호선,51.3,126.79573551872575,37.482806510437655,0,1
중앙,수인선,51.5,126.83855705066809,37.31580953244216,0,1
신중동,서울7호선,51.8,126.77680231029922,37.50295602606586,0,1
귤현,인천1호선,52.5,126.7426695614055,37.56639671533986,0,1
서구청,인천2호선,53.1,126.67684261734425,37.54398102426325,0,1
한대앞,수인선,53.5,126.85350263869414,37.3094976062416,0,1
춘의,서울7호선,53.7,126.78711463368981,37.5037357343269,0,1
역곡,서울1호선,53.8,126.81199512929619,37.485287986503074,0,1
계양,인천1호선,54.5,126.73635630875077,37.571532460315666,0,1
아시아드경기장,인천2호선,54.7,126.67715344747967,37.55202843644741,0,1
