statnm,linenm,minutes,lng,lat,within30,within60
판교,경강선,0.0,127.11144319589552,37.39478218191577,1,1
성남,경강선,2.0,127.11939278676086,37.39474732415628,1,1
정자,신분당선,3.3,127.10853330157944,37.36731490403886,1,1
이매,경강선,4.0,127.12731612795025,37.394712048440546,1,1
미금,신분당선,6.0,127.10882039582211,37.350043730204725,1,1
청계산입구,신분당선,6.5,127.05481605824002,37.448208355455385,1,1
동천,신분당선,8.6,127.10282103853412,37.33792959003132,1,1
삼동,경강선,9.0,127.20342545155974,37.408720901714815,1,1
양재시민의숲,신분당선,9.6,127.03847630891948,37.470130796153555,1,1
서현,분당선,11.3,127.12345491196909,37.38502792700807,1,1
수지구청,신분당선,11.5,127.09476727916179,37.32255214257053,1,1
양재,신분당선,11.7,127.03491881007974,37.483707202554456,1,1
야탑,분당선,12.0,127.12868520179039,37.41180416352642,1,1
수내,분당선,12.3,127.11435203198641,37.37845478546335,1,1
강남,신분당선,13.9,127.02829567320644,37.49661485108958,1,1
경기광주,경강선,14.0,127.25322304647938,37.39897470821774,1,1
성복,신분당선,14.0,127.08034168829445,37.31342955195196,1,1
오리,분당선,14.3,127.1089653267135,37.33986223006651,1,1
모란,분당선,15.0,127.12906689217004,37.432299307382586,1,1
신논현,신분당선,15.3,127.0246034538366,37.50426117404449,1,1
수서,GTX_A,15.8,127.10246845537694,37.486392416412166,1,1
구성,GTX_A,16.2,127.10447748156407,37.299246907412225,1,1
논현,신분당선,16.6,127.02148163870044,37.5107948116954,1,1
태평,분당선,17.0,127.12780338697468,37.4397579701397,1,1
상현,신분당선,17.1,127.06933533255231,37.29774945722412,1,1
죽전,분당선,17.6,127.10756652082293,37.32470333266271,1,1
신사,신분당선,17.8,127.01938995736657,37.51660518723846,1,1
초월,경강선,18.0,127.29988324527159,37.37339127196922,1,1
가천대,분당선,19.0,127.12669116703219,37.44886491716168,1,1
남부터미널,서울3호선,20.2,127.01630214150559,37.48500070905941,1,1
매봉,서울3호선,20.2,127.04677618667323,37.48696948538969,1,1
광교중앙,신분당선,20.3,127.05164498562326,37.2884501592719,1,1
보정,분당선,20.6,127.10834005272706,37.31279826193464,1,1
복정,분당선,22.0,127.12655548436801,37.47088919380632,1,1
역삼,서울2호선,22.2,127.03636840669158,37.50063961417192,1,1
교대,서울3호선,22.2,127.0138279671102,37.49296656096792,1,1
도곡,서울3호선,22.2,127.0555675006598,37.491048742482185,1,1
동탄,GTX_A,22.3,127.0962534758153,37.200156519373536,1,1
수진,서울8호선,22.5,127.14085740225366,37.43749374732599,1,1
곤지암,경강선,23.0,127.34625353575343,37.35053613625162,1,1
반포,서울7호선,23.6,127.01147731905735,37.50812717016541,1,1
대치,서울3호선,23.7,127.06288260206013,37.49438321809049,1,1
